k,m,u_mass,c_v,c_uci,c_npmi,alpha,eta
5,20,-2.8110368865382185,0.2105572717447879,-0.1467704342826085,-0.020114377623483032,50,0.5
5,30,-3.0682871711857436,0.2147521576683324,-0.14884047389771174,-0.018153230595316584,50,0.5
5,10,-2.537358598916105,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,50,1.0
5,20,-2.8115858378393748,0.2105572717447879,-0.1467704342826085,-0.020114377623483032,50,1.0
5,30,-3.068780538221403,0.2147521576683324,-0.1488404738977117,-0.018153230595316584,50,1.0
5,10,-2.545088568093494,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,100,0.001
5,20,-2.8220546518571217,0.20318709350025532,-0.1531314220629892,-0.021095286589151066,100,0.001
5,30,-3.0654763236196,0.21417245716946226,-0.14922131115636075,-0.01827329459315251,100,0.001
5,10,-2.545088568093494,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,100,0.01
5,20,-2.8220546518571217,0.20318709350025532,-0.1531314220629892,-0.021095286589151066,100,0.01
5,30,-3.0654763236196,0.21417245716946226,-0.14922131115636075,-0.01827329459315251,100,0.01
5,10,-2.543636944468171,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,100,0.1
5,20,-2.821710846261651,0.20318709350025532,-0.1531314220629892,-0.021095286589151066,100,0.1
5,30,-3.06532615565836,0.21417245716946226,-0.14922131115636075,-0.01827329459315251,100,0.1
5,10,-2.545088568093494,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,100,0.5
5,20,-2.8220546518571217,0.20318709350025532,-0.1531314220629892,-0.021095286589151066,100,0.5
5,30,-3.0618721946271967,0.20821150980750286,-0.15370282152574802,-0.01898580813446726,100,0.5
5,10,-2.545088568093494,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,100,1.0
5,20,-2.8220546518571217,0.20318709350025532,-0.1531314220629892,-0.021095286589151066,100,1.0
5,30,-3.0549310378758134,0.20645712808323982,-0.15520870913630544,-0.019306107121099095,100,1.0
5,10,-2.546199642141756,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,250,0.001
5,20,-2.825342018486501,0.20318709350025532,-0.1531314220629892,-0.021095286589151066,250,0.001
5,30,-3.058341696617002,0.2087945898426949,-0.15538816764882588,-0.019302585564845272,250,0.001
5,10,-2.546199642141756,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,250,0.01
5,20,-2.825342018486501,0.20318709350025532,-0.1531314220629892,-0.021095286589151066,250,0.01
5,30,-3.058341696617002,0.2087945898426949,-0.15538816764882588,-0.019302585564845272,250,0.01
5,10,-2.546199642141756,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,250,0.1
5,20,-2.825342018486501,0.20318709350025532,-0.1531314220629892,-0.021095286589151066,250,0.1
5,30,-3.0586121997650424,0.2087945898426949,-0.15538816764882588,-0.019302585564845272,250,0.1
5,10,-2.546199642141756,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,250,0.5
5,20,-2.825342018486501,0.20318709350025532,-0.1531314220629892,-0.021095286589151066,250,0.5
5,30,-3.0586121997650424,0.2087945898426949,-0.15538816764882588,-0.019302585564845272,250,0.5
5,10,-2.546199642141756,0.21867326976574897,-0.19021469629830384,-0.029086729132604728,250,1.0
5,20,-2.825877465238611,0.20318709350025532,-0.1531314220629892,-0.021095286589151066,250,1.0
5,30,-3.0490010085826977,0.2106513860683925,-0.1520220214829325,-0.018841811218764343,250,1.0
10,10,-3.202066225357187,0.475422503138898,0.14888531349109263,0.0375170016510329,1,0.001
10,20,-4.063959662289236,0.40827095578468964,-0.2396278765215812,0.012119359218839759,1,0.001
10,30,-4.526866225843011,0.3642746144658919,-0.6155829613723919,-0.010623115916064019,1,0.001
10,10,-3.331006625724668,0.4631076909357435,0.08393766252075144,0.032853599750316306,1,0.01
10,20,-4.167455459302099,0.39842528377950776,-0.3541629179379647,0.006845507439046614,1,0.01
10,30,-4.53842857961304,0.36821624302455,-0.5994177263027143,-0.00977594318156223,1,0.01
10,10,-3.7549321430843916,0.43105290130374774,-0.3454873307757396,0.011396653487781044,1,0.1
10,20,-4.32968323072563,0.3826176929529859,-0.5279735225423021,-0.000508481144065049,1,0.1
