k,m,u_mass,c_v,c_uci,c_npmi,alpha,eta
5,30,-3.4839515257788976,0.3568162214452286,-0.0302912172082715,0.0090146609245641,50,0.001
5,10,-2.7791966779855963,0.3579614950115308,-0.0335559753303921,0.0030374564976949,50,0.01
5,20,-3.1048885047502823,0.3403368873817805,0.0103228601898514,0.0075937169101986,50,0.01
5,30,-3.3460992638460723,0.3476084991586644,0.0192292679883522,0.009456894652244,50,0.01
5,10,-2.851269223627037,0.3419488609828612,-0.0533552643027442,-0.0006939433013693,50,0.1
5,20,-3.094213883058495,0.3234118032738729,-0.0147067561938242,0.0039251992985073,50,0.1
5,30,-3.3016947938968726,0.3241964717478737,-0.0092643848216115,0.004142883139698,50,0.1
5,10,-2.8944225673827515,0.3130592599552,-0.0941809561537783,-0.0073642930931955,50,0.5
5,20,-3.148199664288127,0.3176425678372824,-0.0227036025825973,0.0030863746264945,50,0.5
5,30,-3.426418335546009,0.321245985062749,-0.0442274705504812,0.0025603104325298,50,0.5
5,10,-2.950688333490852,0.3480451577566477,-0.0448362229081688,0.0008398040109419,50,1.0
5,20,-3.233211817641441,0.3189755482595393,-0.0139557419947171,0.0040660846803236,50,1.0
5,30,-3.5040007849914483,0.3154968543823765,-0.0680890325669447,0.0023594858225952,50,1.0
5,10,-2.827332620306279,0.3705292377155917,-0.0176257989890726,0.0057275018015149,100,0.001
5,20,-3.1084304429804948,0.3510236125467775,0.0150078827737151,0.0085407249623311,100,0.001
5,30,-3.4129854863219293,0.3580623903704893,0.0134461063342456,0.0114783913384489,100,0.001
5,10,-2.794729642557924,0.371055200653079,-0.0180976350607141,0.0061458680147832,100,0.01
5,20,-3.106245366099261,0.3459425254690453,0.0201739455648406,0.0089593189352496,100,0.01
5,30,-3.373919775844544,0.3543847970105876,0.0231844943552273,0.0101417614134284,100,0.01
5,10,-2.8494304658165897,0.3558263965392222,-0.0354513805441023,0.0026095023919873,100,0.1
5,20,-3.086303978337012,0.324239018610608,-0.013398610219387,0.0043364617179258,100,0.1
5,30,-3.3308949382460407,0.326461980851449,-0.0172600414704472,0.0038048125849331,100,0.1
5,10,-2.86231148956481,0.3196414404543814,-0.084330269452772,-0.006015699477584,100,0.5
5,20,-3.1539731797812323,0.3247135444958953,-0.0071577611446321,0.0054125657428204,100,0.5
5,30,-3.3903323944014616,0.3241554284577092,-0.0139260040258596,0.0043514347011086,100,0.5
5,10,-3.120342215135211,0.314142684340397,-0.1459520254888383,-0.0076776473392102,100,1.0
5,20,-3.262912181205573,0.3140299464717914,-0.0352016006903594,0.0040229036468718,100,1.0
5,30,-3.4575288521360554,0.3093879473333441,-0.0434029083379374,0.0033887943939064,100,1.0
5,10,-2.779668617365461,0.4045640718398142,0.0546658957249222,0.0188511969884917,250,0.001
5,20,-3.0943345867741856,0.3703720152061417,0.0371146026443113,0.011922839613376,250,0.001
5,30,-3.293958261193011,0.3880246329082083,0.0650039220944047,0.0147670783000367,250,0.001
5,10,-2.735532278719744,0.3579614950115308,-0.033555975330392,0.0030374564976949,250,0.01
5,20,-3.0985376561784204,0.3348213672208542,-0.0043283434361007,0.0056650395537101,250,0.01
5,30,-3.3704958125506352,0.3453808208213765,0.0215497633706223,0.0098328176879381,250,0.01
5,10,-2.849792639471826,0.3482388735551874,-0.0511434277964557,-0.0002839218949408,250,0.1
5,20,-3.0856813586608816,0.3243290941225417,-0.0124332582155135,0.0043546504140483,250,0.1
5,30,-3.3327659587626592,0.3325577582912689,0.0059891536613775,0.0064330067305865,250,0.1
5,10,-2.8858101689922195,0.3345864800332407,-0.0694786171472168,-0.0033053154065534,250,0.5
5,20,-3.110811114348966,0.3168711225150388,-0.0235154886847462,0.0031242303977408,250,0.5
5,30,-3.4499366007652044,0.3186663992862347,-0.0683795553618961,0.0025389764956619,250,0.5
5,10,-3.191615770529788,0.3400900885087085,-0.0778117871799776,0.0036188150466973,250,1.0
5,20,-3.266541450984607,0.3194559148199681,-0.0240011314531104,0.0062407508746242,250,1.0
5,30,-3.4857768181836883,0.313743026588768,-0.0666584252312802,0.0033315689924592,250,1.0
10,10,-3.11153501564539,0.5035780478925245,0.1681066042796915,0.0466209875054278,1,0.001
10,20,-3.3172671049913256,0.4579549444566962,0.1683824970270571,0.0352759022361952,1,0.001
10,30,-3.537510320265349,0.4312023462632829,0.0624873196437748,0.0248379346417234,1,0.001
10,10,-3.029482442841296,0.4938574839520727,0.2789020635443848,0.0526969943167705,1,0.01
10,20,-3.219862825524926,0.4400595361027543,0.16625395142544,0.0334337718502317,1,0.01
10,30,-3.589281751402068,0.4070748319162895,-0.0271063887347166,0.0186941312145819,1,0.01
10,10,-3.0065853850554545,0.4641127694388171,0.2461614299975433,0.0419128254554358,1,0.1
10,20,-3.270743731791665,0.4204295887170052,0.122933245474642,0.0280842911485271,1,0.1
10,30,-3.5143486731008915,0.4062652636600655,0.0613140318513198,0.0204847430933707,1,0.1
10,10,-3.299232365155583,0.5036137220386593,0.1963111162831095,0.0526870417222973,1,0.5
10,20,-3.6665426740632103,0.4557736378016209,0.0090667649522719,0.0314208882061454,1,0.5
10,30,-4.0268041333988025,0.4309018905028131,-0.1843755632086665,0.0174755694835601,1,0.5
10,10,-4.769067558642274,0.5232060311017481,-0.081186713275645,0.0787518552406213,1,1.0
10,20,-5.74047936934413,0.5000175742444035,-1.0418900987922912,0.0151847523917816,1,1.0
10,30,-6.393128448672576,0.4626990348646379,-1.4894144459203054,-0.0170421454666965,1,1.0
10,10,-2.887255618574628,0.497197083211564,0.2788309321755972,0.0515230821032245,10,0.001
10,20,-3.2952091148610423,0.4379246200715563,0.1524301240353374,0.0338171483148105,10,0.001
10,30,-3.612322555267773,0.4196844319129578,0.0211500174735356,0.0227326011382529,10,0.001
10,10,-2.941417751090863,0.4719522780556399,0.1618047852868699,0.0390987503247416,10,0.01
10,20,-3.199585546771747,0.4305104891271931,0.1551774286704088,0.029556088739894,10,0.01
10,30,-3.4266242258990465,0.4070591493147547,0.06843512879062,0.0204370059874833,10,0.01
10,10,-2.9166377933462377,0.4682428380321256,0.2408505156407729,0.0420307634564722,10,0.1
10,20,-3.292791083534655,0.4202345759802879,0.1038668197034539,0.0259370979066952,10,0.1
10,30,-3.51017360074441,0.4198299754277892,0.0724834925451297,0.0233077051285294,10,0.1
10,10,-3.150892865953275,0.4897852158731246,0.2897428871490663,0.0516607940284623,10,0.5
10,20,-3.914489299060056,0.4245121208188667,-0.0666496884844285,0.0310865521700541,10,0.5
10,30,-4.416042335461503,0.3980632530011869,-0.3839508496175147,0.0152611081951526,10,0.5
10,10,-5.407648617064714,0.5358940706433276,-0.1801665966703629,0.0819871421866942,10,1.0
10,20,-5.700842028531332,0.4890488175077558,-0.630741646966613,0.0336437141567781,10,1.0
10,30,-6.276460142783217,0.4766210597507387,-1.0734263959295671,0.0053349021412323,10,1.0
